order_id,pincode,address,amount,account_age_days,prepaid_orders,prior_rto_count,orders_count,phone,actual_rto
h41,600001,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",3499,16,1,0,1,9000000041,0
h42,841226,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",899,4,0,0,0,9000000042,1
h43,854301,"Plot 41, Road 12, Banjara Hills",1299,10,0,0,0,9000000043,1
h44,277001,"House 9, 22 Aurobindo Marg, Malviya Nagar",499,7,0,0,0,9000000044,1
h45,846004,"B-204, 14 Napean Sea Road, Malabar Hill",2199,3,0,0,0,9000000045,1
h46,848101,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",799,19,0,0,0,9000000046,0
h47,786001,"Plot 41, Road 12, Banjara Hills",1599,12,0,0,0,9000000047,0
h48,795001,"House 9, 22 Aurobindo Marg, Malviya Nagar",999,6,1,0,1,9000000048,1
h49,271001,"B-204, 14 Napean Sea Road, Malabar Hill",649,15,0,0,0,9000000049,0
h50,841226,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",899,400,8,0,22,9000000050,0
h51,854301,"Plot 41, Road 12, Banjara Hills",1299,520,6,0,17,9000000051,0
h52,277001,"House 9, 22 Aurobindo Marg, Malviya Nagar",499,260,4,0,9,9000000052,0
h53,846004,"B-204, 14 Napean Sea Road, Malabar Hill",1599,310,5,0,12,9000000053,0
h54,848101,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",799,180,3,0,8,9000000054,1
h55,786001,"Plot 41, Road 12, Banjara Hills",2199,440,9,0,20,9000000055,0
h56,795001,"House 9, 22 Aurobindo Marg, Malviya Nagar",999,600,11,0,28,9000000056,0
h57,271001,"B-204, 14 Napean Sea Road, Malabar Hill",649,210,3,0,7,9000000057,1
h58,226001,near bus,899,3,0,0,0,9000000058,1
h59,302001,abc nagar,1299,8,0,0,0,9000000059,1
h60,700001,near bus,499,12,0,0,0,9000000060,0
h61,800001,abc nagar,1599,5,0,0,0,9000000061,1
h62,201301,near bus,799,16,0,0,0,9000000062,0
h63,462001,abc nagar,2199,9,0,0,0,9000000063,1
h64,226001,"c/o Ramesh, village tola",899,40,1,0,2,9000000064,0
h65,302001,House 45 Koramangala,1299,90,2,0,4,9000000065,0
h66,700001,"c/o Ramesh, village tola",2499,12,0,0,0,9000000066,1
h67,800001,House 45 Koramangala,3499,6,0,0,0,9000000067,1
h68,122001,"c/o Ramesh, village tola",799,200,3,0,6,9000000068,0
h69,462001,House 45 Koramangala,1599,25,0,1,3,9000000069,1
h70,201301,"c/o Ramesh, village tola",999,150,4,0,8,9000000070,0
h71,560038,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",1299,400,5,1,14,9000000071,1
h72,400001,"B-204, 14 Napean Sea Road, Malabar Hill",899,280,3,2,9,9000000072,1
h73,110017,"House 9, 22 Aurobindo Marg, Malviya Nagar",2199,90,1,1,4,9000000073,1
h74,560001,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",499,600,8,1,21,9000000074,0
h75,560038,near temple,899,30,1,0,2,9000000075,0
h76,400001,near mandir,3499,8,0,0,0,9000000076,0
h77,110001,opp temple,1299,4,0,0,0,9000000077,1
h78,500001,beside mosque,799,220,4,0,8,9000000078,0
h79,226001,"Flat 12B, 18 12th Main, HAL 2nd Stage, Indiranagar",4499,310,6,0,12,9000000079,0
h80,800001,"Plot 41, Road 12, Banjara Hills",3899,18,0,0,0,9000000080,1
